attempt,endpoint_index,temperature_K,E_elec_kcal_mol,ZPVE_kcal_mol,G_qRRHO_1M_kcal_mol,S_qRRHO_cal_mol_K,cutoff_cm1,is_activation_free_energy
attempt_02_cluster_seed_01,0,350.0,-37148.57298460553,224.11568467234292,-36960.10299702992,163.24403036592662,100.0,False
attempt_02_cluster_seed_01,0,360.0,-37148.57298460553,224.11568467234292,-36961.571741008906,165.7677642782601,100.0,False
attempt_02_cluster_seed_01,0,370.0,-37148.57298460553,224.11568467234292,-36963.065076840896,168.2872061302261,100.0,False
attempt_02_cluster_seed_01,0,380.0,-37148.57298460553,224.11568467234292,-36964.58297916498,170.8018061113532,100.0,False
attempt_02_cluster_seed_01,0,383.15,-37148.57298460553,224.11568467234292,-36965.06620145916,171.59281216764847,100.0,False
attempt_02_cluster_seed_01,0,390.0,-37148.57298460553,224.11568467234292,-36966.12541573188,173.31099883190691,100.0,False
attempt_02_cluster_seed_01,0,400.0,-37148.57298460553,224.11568467234292,-36967.69234742115,175.8142133601931,100.0,False
attempt_02_cluster_seed_01,0,410.0,-37148.57298460553,224.11568467234292,-36969.28372833616,178.3108816588354,100.0,False
attempt_02_cluster_seed_01,0,420.0,-37148.57298460553,224.11568467234292,-36970.899505963636,180.8004455635076,100.0,False
attempt_02_cluster_seed_01,0,430.0,-37148.57298460553,224.11568467234292,-36972.53962138565,183.28236245114795,100.0,False
attempt_02_cluster_seed_01,0,440.0,-37148.57298460553,224.11568467234292,-36974.20400953313,185.7561097432301,100.0,False
attempt_02_cluster_seed_01,1,298.15,-37133.509401964984,221.36991308193873,-36942.02554251558,159.07447330695533,100.0,False
attempt_02_cluster_seed_01,1,340.0,-37133.509401964984,221.36991308193873,-36948.10330609408,169.92579826683038,100.0,False
attempt_02_cluster_seed_01,1,350.0,-37133.509401964984,221.36991308193873,-36949.620759357495,172.4995496640001,100.0,False
attempt_02_cluster_seed_01,1,360.0,-37133.509401964984,221.36991308193873,-36951.163253540435,175.06555407717593,100.0,False
attempt_02_cluster_seed_01,1,370.0,-37133.509401964984,221.36991308193873,-36952.730732475036,177.62352552498987,100.0,False
attempt_02_cluster_seed_01,1,380.0,-37133.509401964984,221.36991308193873,-36954.32313538831,180.17313957611108,100.0,False
attempt_02_cluster_seed_01,1,383.15,-37133.509401964984,221.36991308193873,-36954.82989402978,180.97448152396126,100.0,False
attempt_02_cluster_seed_01,1,390.0,-37133.509401964984,221.36991308193873,-36955.94039672997,182.7140452844548,100.0,False
attempt_02_cluster_seed_01,1,400.0,-37133.509401964984,221.36991308193873,-36957.582446092136,185.24587541181126,100.0,False
attempt_02_cluster_seed_01,1,410.0,-37133.509401964984,221.36991308193873,-36959.249208207126,187.76825508033602,100.0,False
attempt_02_cluster_seed_01,1,420.0,-37133.509401964984,221.36991308193873,-36960.940603010946,190.28080900169414,100.0,False
attempt_02_cluster_seed_01,1,430.0,-37133.509401964984,221.36991308193873,-36962.65654576065,192.78316742926506,100.0,False
attempt_02_cluster_seed_01,1,440.0,-37133.509401964984,221.36991308193873,-36964.39694719541,195.2749709758608,100.0,False
attempt_01_continuation,0,298.15,-37150.64408540342,224.32224920503262,-36954.64197186825,149.22084360064903,100.0,False
attempt_01_continuation,0,340.0,-37150.64408540342,224.32224920503262,-36960.397749860764,159.8169514462532,100.0,False
attempt_01_continuation,0,350.0,-37150.64408540342,224.32224920503262,-36961.83686712364,162.34252123196796,100.0,False
attempt_01_continuation,0,360.0,-37150.64408540342,224.32224920503262,-36963.30058014535,164.86468620233225,100.0,False
attempt_01_continuation,0,370.0,-37150.64408540342,224.32224920503262,-36964.78887365588,167.38289676068229,100.0,False
attempt_01_continuation,0,380.0,-37150.64408540342,224.32224920503262,-36966.30172533701,169.8965783443653,100.0,False
attempt_01_continuation,0,383.15,-37150.64408540342,224.32224920503262,-36966.78335541264,170.68735624428518,100.0,False
attempt_01_continuation,0,390.0,-37150.64408540342,224.32224920503262,-36967.8391057671,172.4051429722299,100.0,False
attempt_01_continuation,0,400.0,-37150.64408540342,224.32224920503262,-36969.40097845613,174.90799907460664,100.0,False
attempt_01_continuation,0,410.0,-37150.64408540342,224.32224920503262,-36970.987299957036,177.4045597398336,100.0,False
attempt_01_continuation,0,420.0,-37150.64408540342,224.32224920503262,-36972.598020039964,179.89424952062222,100.0,False
attempt_01_continuation,0,430.0,-37150.64408540342,224.32224920503262,-36974.23308191767,182.3765099465229,100.0,False
attempt_01_continuation,0,440.0,-37150.64408540342,224.32224920503262,-36975.89242251125,184.85080388696514,100.0,False
attempt_01_continuation,1,298.15,-37135.64822513839,221.61383659091166,-36943.557615355596,156.88380396990607,100.0,False
attempt_01_continuation,1,340.0,-37135.64822513839,221.61383659091166,-36949.578702778235,167.75166106662675,100.0,False
attempt_01_continuation,1,350.0,-37135.64822513839,221.61383659091166,-36951.08272221372,170.33065420737645,100.0,False
attempt_01_continuation,1,360.0,-37135.64822513839,221.61383659091166,-36952.611834578856,172.90230516484604,100.0,False
attempt_01_continuation,1,370.0,-37135.64822513839,221.61383659091166,-36954.16598775019,175.46628906049605,100.0,False
attempt_01_continuation,1,380.0,-37135.64822513839,221.61383659091166,-36955.745124607034,178.02224584845158,100.0,False
attempt_01_continuation,1,383.15,-37135.64822513839,221.61383659091166,-36956.247717342485,178.82564888512218,100.0,False
attempt_01_continuation,1,390.0,-37135.64822513839,221.61383659091166,-36957.349182893544,180.56979204763945,100.0,False
attempt_01_continuation,1,400.0,-37135.64822513839,221.61383659091166,-36958.97809517024,183.10853075269685,100.0,False
attempt_01_continuation,1,410.0,-37135.64822513839,221.61383659091166,-36960.631788841296,185.638060073588,100.0,False
attempt_01_continuation,1,420.0,-37135.64822513839,221.61383659091166,-36962.31018624492,188.15798015591025,100.0,False
attempt_01_continuation,1,430.0,-37135.64822513839,221.61383659091166,-36964.01320479561,190.66789893179146,100.0,False
attempt_01_continuation,1,440.0,-37135.64822513839,221.61383659091166,-36965.74075716784,193.1674367460775,100.0,False
